,Thema1,Thema2,Thema3
arch,0.0033526728,0.0015407229,0.002293531
cant,0.0017326112,0.004706119,0.0053858096
classic,0.005135812,0.005756864,0.0044592777
clog,0.0026600987,0.01282159,0.018021572
crocs,0.045098245,0.0594694,0.014646003
different,0.0070336806,0.0091418065,0.007251531
find,0.0032064829,0.0018104722,0.004174675
get,0.035460718,0.008696118,0.016002636
good,0.0070780213,0.006831328,0.005407731
great,0.0035371876,0.0052695847,0.0025003548
make,0.017818201,0.017950572,0.008098674
money,0.0038120085,0.0017205712,0.009127761
one,0.010860943,0.018972913,0.025426265
online,0.005556522,0.0036337757,0.0019278825
order,0.029188186,0.03279705,0.012198851
quality,0.0060292548,0.002360083,0.004627918
since,0.004352434,0.0022321045,0.0013710823
support,0.0046329773,0.002805044,0.001910201
vietnam,0.0042318795,0.002271742,0.0015771169
wear,0.018181399,0.023524968,0.034694098
wide,0.004697222,0.014559794,0.018407673
year,0.0066576195,0.010445339,0.005412981
day,0.005877228,0.0040661935,0.01069302
next,0.0011041114,0.0023799292,0.0057095177
refund,0.0048991074,0.003779964,0.0020607333
say,0.0038694572,0.005909106,0.0038839674
size,0.05245468,0.09189417,0.02813742
small,0.019634517,0.026329614,0.024577865
tell,0.00319936,0.0026661986,0.0031066714
two,0.0044533443,0.0032443674,0.0018767342
buy,0.022647794,0.015147406,0.010223296
croc,0.0038972748,0.00293548,0.0049380613
fit,0.026995637,0.01922175,0.03727742
go,0.01142128,0.0058354256,0.0051660636
pair,0.05921333,0.018185439,0.014778291
store,0.0105328,0.0068689203,0.00479462
try,0.008942551,0.008007795,0.0087439
true,0.0019969358,0.0037352084,0.0009798198
end,0.003664956,0.000771477,0.0033293196
like,0.011180813,0.027735509,0.010061393
look,0.00537955,0.00980826,0.01601085
shoe,0.026220705,0.02447753,0.039091133
strap,0.006522771,0.0027306653,0.029908188
arrive,0.003840476,0.0024010797,0.00095225783
box,0.0022013763,0.0018895698,0.0030980678
color,0.012081288,0.018017035,0.008932234
disappoint,0.014518834,0.007451961,0.013096111
exchange,0.0054262425,0.004059166,0.0017998366
leave,0.0075147473,0.0015480083,0.0021857428
need,0.0026797429,0.006845123,0.010036564
never,0.010799566,0.004634924,0.0019283209
pink,0.0036380838,0.002746736,0.0039745485
receive,0.0049805976,0.008108815,0.0064707724
return,0.020882005,0.014798943,0.032726586
right,0.0057959007,0.005012664,0.0068842107
zappos,0.0023632047,0.0029548272,0.0018949375
first,0.004433249,0.0020933505,0.01204577
inside,0.0023780505,0.004566112,0.0039721755
many,0.0018157556,0.0030686092,0.00440655
new,0.008297616,0.004449183,0.013117818
seem,0.0023295272,0.0029922212,0.0070051197
bad,0.0029499081,0.0012983937,0.0045908242
blister,0.0019506325,0.0025323278,0.0024131683
blue,0.00163163,0.0040597348,0.00072711334
come,0.003035188,0.0064291516,0.014586832
comfortable,0.007189807,0.005260896,0.009216838
feel,0.0048088944,0.0041414816,0.0020819916
know,0.005095465,0.005156517,0.0019962909
little,0.003199197,0.005550428,0.001058534
long,0.0042792717,0.0027382995,0.0058837356
love,0.0047139544,0.006749801,0.014427888
much,0.0027117317,0.008479962,0.0055026086
ship,0.007487759,0.0014619672,0.0026391998
sure,0.0043389085,0.00253954,0.0013850592
theyre,0.005119828,0.00539126,0.0034953316
way,0.0034154095,0.0155276405,0.0053402823
website,0.0044699525,0.0025203293,0.0023499457
big,0.0120354295,0.022342972,0.007295234
felt,0.0031606776,0.003692965,0.0014031143
foot,0.017933458,0.015740579,0.015934018
put,0.0016181951,0.0035287587,0.005630978
sock,0.002049741,0.002249882,0.00331626
week,0.0023905355,0.002500802,0.011506755
give,0.0034917663,0.006599981,0.011136768
still,0.0037429628,0.004050715,0.0057984563
woman,0.0045956024,0.011584147,0.001794798
least,0.003238928,0.0017209187,0.00058369304
break,0.0026055411,0.0002840316,0.017768076
however,0.0026754923,0.0018965004,0.00417142
last,0.0032923205,0.002831964,0.004688041
problem,0.0030308573,0.0017337229,0.001178151
purchase,0.015690872,0.008957252,0.0107254125
could,0.00391926,0.0026845809,0.0033637288
full,0.0012417384,0.0036931569,0.00093467097
half,0.0022903203,0.005968358,0.0008099253
inch,0.0029915683,0.002532912,0.0017445966
see,0.0048008743,0.003472693,0.0036863347
shrink,0.005486676,0.0039363294,0.00084714626
company,0.0023015353,0.0020657633,0.0046120593
time,0.008654549,0.00188745,0.01783382
large,0.0017817448,0.010170987,0.0037296712
product,0.0062396405,0.005642554,0.006669828
old,0.007028268,0.0048101433,0.0039074295
style,0.003725065,0.0025667297,0.008349829
son,0.002275071,0.0019042534,0.0053879977
show,0.0024436773,0.0033484309,0.0025370023
well,0.0036415525,0.002446255,0.005253372
short,0.003779198,0.0023385796,0.005286064
want,0.006358623,0.00433041,0.004182358
use,0.0074879546,0.004635076,0.004515471
wrong,0.0037160153,0.004854325,0.0011419071
back,0.008606489,0.008660595,0.0044080215
original,0.0027052225,0.002324143,0.0009516944
narrow,0.0013819388,0.004541485,0.007187019
think,0.005184547,0.0051654465,0.004262724
expect,0.0015154616,0.0018340218,0.004186022
black,0.0017041749,0.0045201797,0.002398619
month,0.0012018735,0.0028739192,0.004575606
pay,0.0037121505,0.0019411332,0.0046184654
send,0.006117907,0.006835827,0.008384716
always,0.004490943,0.0027538543,0.0025733833
side,0.0031648006,0.0022296153,0.008962805
take,0.004802291,0.0021968698,0.0052837324
change,0.0026679162,0.005945154,0.0023139284
happy,0.002912718,0.00087877695,0.0090908995
tight,0.001355635,0.0025587743,0.004156788
toe,0.00460845,0.003850433,0.005248194
width,0.0003231441,0.0035112116,0.0045828074
work,0.0034835783,0.004561063,0.0018347194
customer,0.009145574,0.0021711267,0.0034605672
service,0.006261096,0.0018673721,0.0034362357
bottom,0.0014704625,0.0033089118,0.001870096
run,0.0013313246,0.0035150133,0.002711119
mark,0.001333197,0.0028813714,0.00413368
really,0.0038467043,0.0038885481,0.0022966359
china,0.0035587254,0.0021790862,0.0014928903
uncomfortable,0.0024943543,0.0049064695,0.0034396998
men,0.003962171,0.008299963,0.0023721505
issue,0.00431954,0.0012261994,0.00062571
though,0.0039440156,0.001753438,0.00082630676
past,0.0030172619,0.0018477361,0.0007311668
without,0.0026978194,0.0009468801,0.006886351
huge,0.0020646253,0.0039592274,0.0023897788
hard,0.0027839097,0.00323918,0.00065255194
hurt,0.004865708,0.0013341644,0.001040434
wait,0.0029933131,0.0023530205,0.0025113195
walk,0.00626451,0.002210316,0.0006624445
fine,0.0033035546,0.0021618027,0.0023636771
material,0.001891005,0.0032390093,0.0008574785
